City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,6.0,87,0,8.75,clear sky
1,Moustheni,GR,40.8667,24.1167,16.11,67,20,5.66,few clouds
2,Ushuaia,AR,-54.8,-68.3,6.0,93,0,3.09,clear sky
3,Fayaoue,NC,-20.65,166.5333,25.97,88,100,5.17,overcast clouds
4,Albany,US,42.6001,-73.9662,-3.89,52,15,5.13,few clouds
5,Ribeira Grande,PT,38.5167,-28.7,16.0,88,75,11.32,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,24.28,84,100,7.55,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,23.33,53,92,0.45,overcast clouds
8,Lagdo,CM,9.05,13.7333,37.0,6,0,2.06,clear sky
9,Broken Hill,AU,-31.95,141.4333,22.0,35,0,3.09,clear sky
10,New Norfolk,AU,-42.7826,147.0587,16.67,62,100,1.61,overcast clouds
11,Nishihara,JP,26.1842,127.7558,22.0,100,75,3.09,mist
12,Butaritari,KI,3.0707,172.7902,27.73,79,24,7.9,few clouds
13,Kahului,US,20.8947,-156.47,21.0,88,1,4.12,clear sky
14,Itoman,JP,26.1247,127.6694,22.0,88,75,7.2,broken clouds
15,Jamestown,US,42.097,-79.2353,-4.44,58,1,5.14,clear sky
16,Carnarvon,AU,-24.8667,113.6333,27.0,83,15,4.12,few clouds
17,Komsomolskiy,UZ,40.4272,71.7189,11.0,22,0,2.06,clear sky
18,Yumen,CN,40.2833,97.2,8.69,17,98,10.43,overcast clouds
19,Hobart,AU,-42.8794,147.3294,18.0,72,0,2.57,clear sky
20,Busselton,AU,-33.65,115.3333,17.22,89,42,0.89,scattered clouds
21,Spencer,US,43.1414,-95.1444,1.0,51,1,7.72,clear sky
22,Kalmunai,LK,7.4167,81.8167,28.74,74,34,5.65,scattered clouds
23,Bluff,NZ,-46.6,168.3333,10.4,66,34,3.87,scattered clouds
24,Huilong,CN,31.8111,121.655,18.33,90,99,2.43,overcast clouds
25,Owando,CG,-0.4819,15.8999,35.6,38,41,1.38,scattered clouds
26,Codrington,AU,-38.2667,141.9667,18.51,48,0,2.23,clear sky
27,Olafsvik,IS,64.8945,-23.7142,5.2,86,73,7.97,broken clouds
28,Kozhva,RU,65.1073,57.0459,1.3,86,98,3.18,overcast clouds
29,Castro,BR,-24.7911,-50.0119,15.62,82,97,3.04,overcast clouds
30,Torbay,CA,47.6666,-52.7314,4.44,64,75,2.57,broken clouds
31,Murray Bridge,AU,-35.1167,139.2667,22.22,37,0,1.37,clear sky
32,Barrow,US,71.2906,-156.7887,-28.0,91,1,2.57,clear sky
33,Carahue,CL,-38.7,-73.1667,11.0,100,90,1.03,overcast clouds
34,Avarua,CK,-21.2078,-159.775,26.0,83,13,2.57,few clouds
35,Basco,PH,20.4487,121.9702,26.78,77,39,6.33,scattered clouds
36,Atuona,PF,-9.8,-139.0333,27.26,78,39,6.11,light rain
37,Mar Del Plata,AR,-38.0023,-57.5575,19.44,94,75,1.54,broken clouds
38,Hegang,CN,47.4,130.3667,12.58,48,100,6.9,overcast clouds
39,Husavik,IS,66.0449,-17.3389,6.0,56,0,13.89,clear sky
40,Yellowknife,CA,62.456,-114.3525,-15.0,78,90,1.54,light snow
41,Nuuk,GL,64.1835,-51.7216,-7.0,93,75,2.57,snow
42,Iquique,CL,-20.2208,-70.1431,18.0,72,20,0.51,few clouds
43,Tocopilla,CL,-22.092,-70.1979,20.47,69,24,3.55,few clouds
44,Norman Wells,CA,65.282,-126.8329,-18.0,78,75,4.12,broken clouds
45,Villa Carlos Paz,AR,-31.4241,-64.4978,17.22,87,50,0.89,scattered clouds
46,Sao Joao Da Barra,BR,-21.6403,-41.0511,24.0,83,0,1.03,clear sky
47,Gunnedah,AU,-30.9833,150.25,20.0,71,0,2.24,clear sky
48,Erenhot,CN,43.6475,111.9767,5.2,36,97,5.01,overcast clouds
49,Vaini,TO,-21.2,-175.2,24.0,100,75,1.03,broken clouds
50,Thompson,CA,55.7435,-97.8558,1.0,64,40,1.54,scattered clouds
51,Lompoc,US,34.6391,-120.4579,10.0,100,0,2.06,mist
52,Ishigaki,JP,24.3448,124.1572,24.0,94,40,2.06,scattered clouds
53,Chernyshevskiy,RU,63.0128,112.4714,-25.47,96,96,1.08,overcast clouds
54,Remontnoye,RU,46.5614,43.6501,11.0,46,58,4.0,broken clouds
55,Chililabombwe,ZM,-12.3648,27.8229,23.96,66,35,2.33,scattered clouds
56,Kuminskiy,RU,58.6667,66.5667,2.23,96,100,4.62,light rain
57,Dicabisagan,PH,17.0818,122.4157,24.87,80,1,1.69,clear sky
58,Lakatoro,VU,-16.0999,167.4164,27.39,80,99,1.24,overcast clouds
59,Puerto Madryn,AR,-42.7692,-65.0385,17.14,75,100,4.91,light rain
60,Dunedin,NZ,-45.8742,170.5036,10.56,78,51,1.34,broken clouds
61,Cananeia,BR,-25.0147,-47.9267,22.89,72,25,3.14,scattered clouds
62,Chuy,UY,-33.6971,-53.4616,19.53,73,45,2.17,scattered clouds
63,Cape Town,ZA,-33.9258,18.4232,21.67,49,20,3.09,few clouds
64,Lingao,CN,19.9103,109.6859,27.19,70,9,2.74,clear sky
65,Kapaa,US,22.0752,-159.319,23.0,78,75,8.75,light rain
66,Harper,LR,4.375,-7.7169,28.77,73,89,3.59,light rain
67,Sukumo,JP,32.9333,132.7333,16.39,87,32,5.71,scattered clouds
68,Hasaki,JP,35.7333,140.8333,14.0,67,20,3.09,few clouds
69,Cacu,BR,-18.5567,-51.1308,25.84,51,84,1.68,broken clouds
70,Bogalusa,US,30.791,-89.8487,2.78,87,1,2.06,clear sky
71,Batagay,RU,67.6333,134.6333,-16.06,96,100,1.79,overcast clouds
72,Mount Gambier,AU,-37.8333,140.7667,17.0,55,0,2.57,clear sky
73,Palmer,US,42.1584,-72.3287,-2.78,46,75,7.2,broken clouds
74,Provideniya,RU,64.3833,-173.3,-12.1,95,100,6.81,snow
75,Port Alfred,ZA,-33.5906,26.891,18.26,91,100,8.52,light rain
76,Cockburn Town,TC,21.4612,-71.1419,25.35,68,29,8.07,scattered clouds
77,Longyearbyen,SJ,78.2186,15.6401,-3.0,74,75,5.14,light snow
78,Aklavik,CA,68.2191,-135.0107,-28.0,83,97,1.03,overcast clouds
79,Roald,NO,62.5833,6.1333,6.0,61,75,5.66,broken clouds
80,Mataura,NZ,-46.1927,168.8643,4.82,95,42,1.17,scattered clouds
81,Omboue,GA,-1.5746,9.2618,27.89,75,82,2.85,broken clouds
82,Vorobyevka,RU,50.6451,40.9245,14.65,38,49,6.39,scattered clouds
83,Carlsbad,US,33.1581,-117.3506,15.0,88,75,2.06,broken clouds
84,Berezovka,BY,53.7214,25.4993,8.37,39,67,4.09,broken clouds
85,Khatanga,RU,71.9667,102.5,-27.8,96,6,2.68,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,25.0,73,20,6.17,few clouds
87,Itacare,BR,-14.2775,-38.9967,29.0,74,40,2.57,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,-34.41,100,97,1.16,overcast clouds
89,Georgetown,MY,5.4112,100.3354,31.0,70,40,4.12,scattered clouds
90,Gat,IL,31.61,34.7642,18.89,54,22,0.89,few clouds
91,Kaohsiung,TW,22.6163,120.3133,27.0,74,40,3.09,scattered clouds
92,Cabedelo,BR,-6.9811,-34.8339,28.0,74,40,4.12,scattered clouds
93,Roma,US,43.2128,-75.4557,-5.0,58,40,4.63,scattered clouds
94,Epiniana,GR,39.1429,21.6134,16.11,45,70,3.58,broken clouds
95,Akonolinga,CM,3.7667,12.25,35.19,26,71,1.86,broken clouds
96,Clyde River,CA,70.4692,-68.5914,-25.0,77,90,9.26,light snow
97,Puerto Escondido,MX,15.85,-97.0667,25.14,48,0,3.11,clear sky
98,Poum,NC,-20.2333,164.0167,25.02,92,100,7.75,very heavy rain
99,Upernavik,GL,72.7868,-56.1549,-23.13,92,100,5.28,overcast clouds
100,Guerrero Negro,MX,27.9769,-114.0611,13.74,86,38,3.03,scattered clouds
101,Airai,TL,-8.9266,125.4092,15.94,99,100,2.01,light rain
102,Kruisfontein,ZA,-34.0033,24.7314,17.78,88,100,1.34,light rain
103,Heiligenhafen,DE,54.3667,10.9833,8.89,68,34,4.92,scattered clouds
104,Hamburg,DE,53.55,10.0,7.22,70,90,7.2,overcast clouds
105,Sitka,US,57.0531,-135.33,1.0,80,90,2.06,snow
106,Anadyr,RU,64.75,177.4833,-9.0,86,90,10.0,snow
107,Victoria,HK,22.2855,114.1577,27.22,83,4,2.9,clear sky
108,Dabakala,CI,8.3667,-4.4333,37.1,27,61,2.49,broken clouds
109,Moron,AR,-34.6534,-58.6198,20.0,90,71,0.45,broken clouds
110,Santa Cruz,BO,-17.8,-63.1667,22.0,78,75,5.14,broken clouds
111,Qaanaaq,GL,77.484,-69.3632,-21.9,86,97,6.54,overcast clouds
112,San Carlos De Bariloche,AR,-41.1456,-71.3082,7.0,87,75,2.06,broken clouds
113,Tual,ID,-5.6667,132.75,29.03,71,99,1.86,overcast clouds
114,Lebu,CL,-37.6167,-73.65,12.18,93,25,5.5,scattered clouds
115,Araouane,ML,18.9048,-3.5265,37.38,5,20,7.03,few clouds
116,Jiuquan,CN,39.7432,98.5174,8.92,16,100,7.0,overcast clouds
117,Carndonagh,IE,55.25,-7.2667,10.0,66,20,2.57,few clouds
118,Sikonge,TZ,-5.6333,32.7667,27.0,57,40,5.14,scattered clouds
119,Abhar,IR,36.1468,49.218,19.82,17,8,14.37,clear sky
120,Touros,BR,-5.1989,-35.4608,27.0,83,40,2.57,scattered clouds
121,Grindavik,IS,63.8424,-22.4338,5.0,75,90,7.72,overcast clouds
122,Nikolayevka,RU,53.1257,47.2041,7.61,75,97,5.1,overcast clouds
123,Hay River,CA,60.8156,-115.7999,-12.0,72,92,5.66,overcast clouds
124,Faanui,PF,-16.4833,-151.75,27.41,71,3,1.76,clear sky
125,Saint-Pierre,RE,-21.3393,55.4781,28.0,69,90,9.77,light rain
126,Marawi,PH,7.9986,124.2928,21.12,98,100,1.21,overcast clouds
127,Kharp,RU,66.8014,65.8081,-2.15,94,100,1.25,overcast clouds
128,Bredasdorp,ZA,-34.5322,20.0403,23.0,43,94,3.09,light rain
129,Upata,VE,8.0086,-62.3989,22.71,77,93,3.86,overcast clouds
130,Luanda,AO,-8.8368,13.2343,31.0,66,40,3.09,scattered clouds
131,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,21.81,66,100,3.11,overcast clouds
132,Champerico,GT,14.3,-91.9167,26.43,54,3,2.24,clear sky
133,Vila,PT,42.0304,-8.1588,13.33,91,53,3.58,broken clouds
134,Half Moon Bay,US,37.4636,-122.4286,11.67,87,90,1.54,overcast clouds
135,Belaya Gora,RU,68.5333,146.4167,-16.97,95,100,1.18,overcast clouds
136,Vanimo,PG,-2.6741,141.3028,25.6,87,100,0.52,overcast clouds
137,Kodiak,US,57.79,-152.4072,-3.0,46,1,2.06,clear sky
138,Puerto Carreno,CO,6.189,-67.4859,27.52,61,100,0.73,overcast clouds
139,Jabinyanah,TN,35.035,10.9081,25.0,36,0,6.17,clear sky
140,Biloela,AU,-24.4167,150.5,20.45,72,12,8.44,few clouds
141,Chokurdakh,RU,70.6333,147.9167,-18.95,97,99,1.87,overcast clouds
142,Vilhena,BR,-12.7406,-60.1458,21.0,100,0,2.06,clear sky
143,Sayansk,RU,54.1088,102.1648,-3.92,94,37,1.95,scattered clouds
144,Tura,IN,25.5198,90.2201,27.78,25,0,0.71,clear sky
145,Westport,US,41.1415,-73.3579,-1.67,54,1,6.69,clear sky
146,Saint-Philippe,RE,-21.3585,55.7679,28.0,69,90,9.77,light rain
147,Homer,US,59.6425,-151.5483,-5.0,63,1,2.53,clear sky
148,Topeka,US,39.0483,-95.678,3.33,44,1,4.63,clear sky
149,Stokmarknes,NO,68.5646,14.9108,2.78,85,99,2.24,light snow
150,East London,ZA,-33.0153,27.9116,19.0,88,75,8.23,light rain
151,Tasiilaq,GL,65.6145,-37.6368,-1.0,93,90,4.12,overcast clouds
152,Benguela,AO,-12.5763,13.4055,30.07,65,34,4.81,scattered clouds
153,Saskylakh,RU,71.9167,114.0833,-36.18,100,26,1.55,scattered clouds
154,Tiznit,MA,29.5833,-9.5,21.88,33,25,3.16,scattered clouds
155,Talcahuano,CL,-36.7167,-73.1167,11.0,93,90,2.06,overcast clouds
156,Mantua,IT,45.1667,10.7833,23.89,35,3,1.03,clear sky
157,Feuchtwangen,DE,49.1667,10.3333,10.56,76,75,5.66,broken clouds
158,Umm Lajj,SA,25.0213,37.2685,23.98,43,1,10.05,clear sky
159,Pizarro,CO,4.9533,-77.366,24.66,91,95,2.61,overcast clouds
160,Gamba,GA,-2.65,10.0,27.42,74,100,1.98,overcast clouds
161,Pevek,RU,69.7008,170.3133,-28.01,97,17,2.2,few clouds
162,Faya,SA,18.3851,42.4509,27.0,27,20,5.66,few clouds
163,Kununurra,AU,-15.7667,128.7333,28.0,74,89,3.08,overcast clouds
164,Hithadhoo,MV,-0.6,73.0833,28.83,77,46,8.9,scattered clouds
165,Te Anau,NZ,-45.4167,167.7167,5.4,90,37,1.05,scattered clouds
166,Vilyuysk,RU,63.7553,121.6247,-17.34,88,100,4.58,overcast clouds
167,Vryburg,ZA,-26.9566,24.7284,28.49,28,22,5.67,few clouds
168,Avera,US,33.194,-82.5271,0.0,80,1,2.06,clear sky
169,Coihaique,CL,-45.5752,-72.0662,9.0,87,90,1.66,overcast clouds
170,Shumskiy,RU,54.8318,99.1328,-0.95,89,77,1.36,broken clouds
171,Nakambala,ZM,-15.8324,27.7799,27.5,43,2,3.44,clear sky
172,Yulara,AU,-25.2406,130.9889,27.0,26,0,3.6,clear sky
173,Port Elizabeth,ZA,-33.918,25.5701,17.0,88,40,4.63,moderate rain
174,Nikolskoye,RU,59.7035,30.7861,5.56,65,75,4.0,broken clouds
175,Hilo,US,19.7297,-155.09,21.0,83,90,3.09,moderate rain
176,Saint George,US,37.1041,-113.5841,12.0,28,1,1.54,clear sky
177,Bambous Virieux,MU,-20.3428,57.7575,28.89,83,40,3.09,scattered clouds
178,Agar,IN,23.7,76.0167,35.86,6,0,5.72,clear sky
179,Corner Brook,CA,48.9667,-57.9484,8.0,81,75,1.03,broken clouds
180,Mount Isa,AU,-20.7333,139.5,27.0,28,0,3.09,clear sky
181,Gisborne,NZ,-38.6533,178.0042,17.22,86,100,5.36,light rain
182,Oudtshoorn,ZA,-33.5907,22.2014,18.0,72,75,2.57,broken clouds
183,Geraldton,AU,-28.7667,114.6,25.0,78,6,2.57,clear sky
184,Sung Noen,TH,14.8992,101.8207,35.0,66,40,3.6,light rain
185,Tessalit,ML,20.1986,1.0114,34.07,4,0,7.0,clear sky
186,Linhares,BR,-19.3911,-40.0722,26.13,75,17,2.4,few clouds
187,Fortuna,US,40.5982,-124.1573,8.33,100,90,1.54,overcast clouds
188,Adwa,ET,14.1646,38.8955,30.3,10,5,1.23,clear sky
189,Namibe,AO,-15.1961,12.1522,28.0,65,0,7.72,clear sky
190,Vardo,NO,70.3705,31.1107,0.0,93,75,4.63,broken clouds
191,Almaznyy,RU,48.0448,40.045,14.0,51,40,2.0,scattered clouds
192,Matheran,IN,18.9833,73.2667,30.0,62,66,6.17,smoke
193,Taoudenni,ML,22.6783,-3.9836,37.83,5,61,4.39,broken clouds
194,Gogapur,IN,23.55,75.5167,35.67,7,0,5.61,clear sky
195,Ilulissat,GL,69.2167,-51.1,-12.0,72,75,5.14,snow
196,Nome,US,64.5011,-165.4064,-13.89,85,90,7.72,mist
197,Namatanai,PG,-3.6667,152.4333,27.6,75,100,3.29,overcast clouds
198,San Policarpo,PH,12.1791,125.5072,27.54,74,52,4.94,broken clouds
199,Akureyri,IS,65.6835,-18.0878,6.0,56,0,13.89,clear sky
200,Terrace,CA,54.5163,-128.6035,0.0,93,90,1.54,light snow
201,Puerto Ayora,EC,-0.7393,-90.3518,22.78,97,41,0.45,scattered clouds
202,Catia La Mar,VE,10.6038,-67.0303,25.0,83,20,1.03,few clouds
203,Hami,CN,42.8,93.45,14.86,11,36,1.06,scattered clouds
204,Kudahuvadhoo,MV,2.6708,72.8944,28.54,77,15,7.25,few clouds
205,Sovetskiy,RU,61.3614,63.5842,3.82,74,93,3.18,light snow
206,Buraydah,SA,26.326,43.975,36.0,24,75,6.17,broken clouds
207,Caranavi,BO,-15.8167,-67.55,17.66,99,100,0.52,overcast clouds
208,Shaoguan,CN,24.8,113.5833,28.59,55,0,0.3,clear sky
209,Laguna,US,38.421,-121.4238,12.0,50,1,1.54,clear sky
210,Hokitika,NZ,-42.7167,170.9667,11.46,83,52,2.55,broken clouds
211,Kosh-Agach,RU,50.0,88.6667,-5.78,55,0,2.67,clear sky
212,Bontang,ID,0.1333,117.5,27.44,82,97,4.97,overcast clouds
213,Mahebourg,MU,-20.4081,57.7,28.0,83,40,3.09,scattered clouds
214,San Quintin,MX,30.4833,-115.95,13.51,91,2,1.61,clear sky
215,Katsuura,JP,35.1333,140.3,15.56,70,24,0.89,few clouds
216,Pisco,PE,-13.7,-76.2167,18.0,82,100,1.03,smoke
217,Tuatapere,NZ,-46.1333,167.6833,7.0,82,45,1.76,scattered clouds
218,Walvis Bay,NA,-22.9575,14.5053,28.0,44,19,2.57,few clouds
219,Coahuayana,MX,18.7333,-103.6833,23.85,44,21,1.84,few clouds
220,Diego De Almagro,CL,-26.3667,-70.05,17.46,38,0,0.34,clear sky
221,Bengkulu,ID,-3.8004,102.2655,26.35,86,100,6.29,moderate rain
222,Chalus,IR,36.655,51.4204,14.0,82,75,2.06,broken clouds
223,Cherskiy,RU,68.75,161.3,-26.22,86,10,3.91,clear sky
224,Srednekolymsk,RU,67.45,153.6833,-27.32,98,56,2.89,broken clouds
225,Berezovyy,RU,51.6667,135.7,0.23,96,100,0.62,snow
226,La Palma,US,33.8464,-118.0467,14.44,67,1,2.11,clear sky
227,Turukhansk,RU,65.8167,87.9833,-8.27,81,100,7.41,overcast clouds
228,Izumo,JP,35.3667,132.7667,20.0,49,20,1.54,few clouds
229,Tautira,PF,-17.7333,-149.15,26.0,78,20,1.54,few clouds
230,Montepuez,MZ,-13.1256,38.9997,25.24,75,73,2.42,broken clouds
231,Portland,US,45.5234,-122.6762,5.56,82,13,0.64,few clouds
232,Bilibino,RU,68.0546,166.4372,-23.27,89,100,3.56,overcast clouds
233,Kadyy,RU,57.787,43.1903,2.55,83,100,1.53,light rain
234,Bang Saphan,TH,11.2126,99.5117,30.0,70,40,4.63,scattered clouds
235,Pucallpa,PE,-8.3791,-74.5539,22.71,93,35,0.28,scattered clouds
236,Lagoa,PT,39.05,-27.9833,15.79,83,100,11.17,overcast clouds
237,Ponta Do Sol,PT,32.6667,-17.1,19.0,63,20,6.17,few clouds
238,Eha Amufu,NG,6.6592,7.7596,37.89,21,34,3.1,scattered clouds
239,Gorin,RU,51.1983,136.6669,3.36,82,100,4.82,overcast clouds
240,Ust-Ilimsk,RU,58.0006,102.6619,-1.45,81,100,4.95,overcast clouds
241,Waingapu,ID,-9.6567,120.2641,25.44,88,100,3.46,overcast clouds
242,Moose Factory,CA,51.2585,-80.6094,-18.0,84,1,1.54,clear sky
243,Katobu,ID,-4.9408,122.5276,23.89,84,100,2.08,light rain
244,Tabas,IR,33.5959,56.9244,32.38,8,38,4.26,scattered clouds
245,Naze,JP,28.3667,129.4833,21.0,94,75,8.75,broken clouds
246,Robertsport,LR,6.7533,-11.3686,27.87,74,43,3.0,scattered clouds
247,Kaitangata,NZ,-46.2817,169.8464,9.44,78,37,1.34,scattered clouds
248,Lorengau,PG,-2.0226,147.2712,27.0,78,100,0.56,overcast clouds
249,Constitucion,CL,-35.3333,-72.4167,13.98,68,60,1.34,broken clouds
250,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,23.68,95,95,0.89,overcast clouds
251,Kattivakkam,IN,13.2167,80.3167,35.0,41,20,4.63,few clouds
252,Scarborough,GB,54.2797,-0.4044,9.44,68,22,3.13,few clouds
253,Imeni Poliny Osipenko,RU,52.4201,136.4853,2.25,84,100,4.06,overcast clouds
254,Bangui,CF,4.3612,18.555,34.0,49,40,4.12,scattered clouds
255,Itarema,BR,-2.9248,-39.9167,26.13,79,36,4.89,scattered clouds
256,Skibbereen,IE,51.55,-9.2667,9.0,76,40,2.57,scattered clouds
257,Houston,US,29.7633,-95.3633,12.0,58,20,5.66,few clouds
258,Goundam,ML,16.4145,-3.6708,37.62,5,38,8.63,scattered clouds
259,The Valley,AI,18.217,-63.0578,25.56,73,20,7.2,few clouds
260,Dhidhdhoo,MV,6.8833,73.1,29.18,69,46,5.54,scattered clouds
261,Matara,LK,5.9485,80.5353,28.9,77,30,5.61,scattered clouds
262,Mareeba,AU,-17.0,145.4333,24.0,83,90,6.17,overcast clouds
263,Baghmara,IN,23.795,86.2085,36.28,3,0,3.99,clear sky
264,Souillac,MU,-20.5167,57.5167,28.0,83,40,3.09,scattered clouds
265,Narsaq,GL,60.9167,-46.05,3.0,70,75,1.54,broken clouds
266,Dingle,PH,10.9995,122.6711,25.39,80,100,3.03,overcast clouds
267,Jumla,NP,29.2747,82.1838,12.44,16,2,4.7,clear sky
268,Chubbuck,US,42.9208,-112.4661,6.67,51,1,4.63,clear sky
269,Narodychi,UA,51.2029,29.0823,6.83,64,100,4.91,overcast clouds
270,Klaksvik,FO,62.2266,-6.589,8.0,61,6,2.06,clear sky
271,Pilar,BR,-9.5972,-35.9567,25.0,94,75,2.06,broken clouds
272,Sabha,LY,27.0377,14.4283,25.11,16,0,0.17,clear sky
273,Buala,SB,-8.145,159.5921,27.06,79,33,1.28,scattered clouds
274,Severo-Kurilsk,RU,50.6789,156.125,-2.2,79,80,8.01,broken clouds
275,Akdepe,TM,42.0551,59.3788,18.0,19,0,10.29,clear sky
276,Batsfjord,NO,70.6345,29.7185,0.0,93,75,4.63,light snow
277,Simpang,ID,-1.2667,104.0833,26.45,82,99,2.27,overcast clouds
