City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-03-24 19:19:36,-46.1927,168.8643,45.0,96,13,2.71
1,Saldanha,ZA,2021-03-24 19:19:36,-33.0117,17.9442,80.6,41,5,5.75
2,Ushuaia,AR,2021-03-24 19:16:35,-54.8,-68.3,44.6,76,75,34.52
3,Cabo San Lucas,MX,2021-03-24 19:17:08,22.8909,-109.9124,73.0,52,75,17.27
4,Chapais,CA,2021-03-24 19:19:37,49.7834,-74.8492,51.8,37,1,6.91
5,Kruisfontein,ZA,2021-03-24 19:17:28,-34.0033,24.7314,70.0,77,100,5.99
6,Tiksi,RU,2021-03-24 19:19:37,71.6872,128.8694,-27.0,99,94,4.47
7,Mar Del Plata,AR,2021-03-24 19:17:44,-38.0023,-57.5575,75.2,78,20,10.36
8,Isangel,VU,2021-03-24 19:19:37,-19.55,169.2667,73.72,77,76,6.82
9,Hilo,US,2021-03-24 19:17:07,19.7297,-155.09,73.4,83,90,6.91
10,Punta Arenas,CL,2021-03-24 19:19:37,-53.15,-70.9167,50.0,57,40,29.93
11,Port Hardy,CA,2021-03-24 19:19:38,50.6996,-127.4199,44.6,93,90,8.05
12,Kodiak,US,2021-03-24 19:19:38,57.79,-152.4072,41.0,56,20,10.36
13,Codrington,AU,2021-03-24 19:19:38,-38.2667,141.9667,58.66,79,100,16.53
14,Evensk,RU,2021-03-24 19:19:38,61.95,159.2333,11.12,94,100,5.26
15,Makakilo City,US,2021-03-24 19:19:39,21.3469,-158.0858,78.8,73,75,13.8
16,Inongo,CD,2021-03-24 19:19:39,-1.95,18.2667,72.34,92,100,3.94
17,San Cristobal,VE,2021-03-24 19:19:39,7.7669,-72.225,84.2,65,40,6.91
18,Rikitea,PF,2021-03-24 19:19:40,-23.1203,-134.9692,79.36,66,0,12.26
19,Qaanaaq,GL,2021-03-24 19:19:40,77.484,-69.3632,-18.0,65,20,3.8
20,Gizo,SB,2021-03-24 19:19:40,-8.103,156.8419,81.93,74,100,4.94
21,Saint George,US,2021-03-24 19:18:30,37.1041,-113.5841,53.6,26,1,3.44
